id,Data,Country,Type,Frequency,Currency,Units,Date,Value
107247,Volume,NZ,Sovereign,Monthly,NZD,Millions,2000-04-01,176.96973200000002
107248,Volume,NZ,Sovereign,Monthly,NZD,Millions,2000-05-01,221.92726799999997
107249,Volume,NZ,Sovereign,Monthly,NZD,Millions,2000-06-01,162.855424
107250,Volume,NZ,Sovereign,Monthly,NZD,Millions,2000-07-01,156.505176
107251,Volume,NZ,Sovereign,Monthly,NZD,Millions,2000-08-01,207.569972
107252,Volume,NZ,Sovereign,Monthly,NZD,Millions,2000-09-01,146.080372
107253,Volume,NZ,Sovereign,Monthly,NZD,Millions,2000-10-01,155.90163199999998
107254,Volume,NZ,Sovereign,Monthly,NZD,Millions,2000-11-01,145.047144
107255,Volume,NZ,Sovereign,Monthly,NZD,Millions,2000-12-01,167.84897999999998
107256,Volume,NZ,Sovereign,Monthly,NZD,Millions,2001-01-01,213.61228599999998
107257,Volume,NZ,Sovereign,Monthly,NZD,Millions,2001-02-01,200.326148
107258,Volume,NZ,Sovereign,Monthly,NZD,Millions,2001-03-01,255.2797796
107259,Volume,NZ,Sovereign,Monthly,NZD,Millions,2001-04-01,191.44697200000002
107260,Volume,NZ,Sovereign,Monthly,NZD,Millions,2001-05-01,236.69590399999998
107261,Volume,NZ,Sovereign,Monthly,NZD,Millions,2001-06-01,210.03385999999998
107262,Volume,NZ,Sovereign,Monthly,NZD,Millions,2001-07-01,231.2103652
107263,Volume,NZ,Sovereign,Monthly,NZD,Millions,2001-08-01,238.12240999999997
107264,Volume,NZ,Sovereign,Monthly,NZD,Millions,2001-09-01,222.311254
107265,Volume,NZ,Sovereign,Monthly,NZD,Millions,2001-10-01,321.57171600000004
107266,Volume,NZ,Sovereign,Monthly,NZD,Millions,2001-11-01,332.979612
107267,Volume,NZ,Sovereign,Monthly,NZD,Millions,2001-12-01,222.9953492
107268,Volume,NZ,Sovereign,Monthly,NZD,Millions,2002-01-01,262.467176
107269,Volume,NZ,Sovereign,Monthly,NZD,Millions,2002-02-01,203.492428
107270,Volume,NZ,Sovereign,Monthly,NZD,Millions,2002-03-01,270.90161199999994
107271,Volume,NZ,Sovereign,Monthly,NZD,Millions,2002-04-01,264.30164800000006
107272,Volume,NZ,Sovereign,Monthly,NZD,Millions,2002-05-01,310.408896
107273,Volume,NZ,Sovereign,Monthly,NZD,Millions,2002-06-01,233.195792
107274,Volume,NZ,Sovereign,Monthly,NZD,Millions,2002-07-01,323.879508
107275,Volume,NZ,Sovereign,Monthly,NZD,Millions,2002-08-01,247.25384
107276,Volume,NZ,Sovereign,Monthly,NZD,Millions,2002-09-01,208.31399199999998
107277,Volume,NZ,Sovereign,Monthly,NZD,Millions,2002-10-01,256.20446400000003
107278,Volume,NZ,Sovereign,Monthly,NZD,Millions,2002-11-01,330.438912
107279,Volume,NZ,Sovereign,Monthly,NZD,Millions,2002-12-01,257.211584
107280,Volume,NZ,Sovereign,Monthly,NZD,Millions,2003-01-01,238.81891199999998
107281,Volume,NZ,Sovereign,Monthly,NZD,Millions,2003-02-01,230.37261600000002
107282,Volume,NZ,Sovereign,Monthly,NZD,Millions,2003-03-01,307.991496
107283,Volume,NZ,Sovereign,Monthly,NZD,Millions,2003-04-01,255.67609600000003
107284,Volume,NZ,Sovereign,Monthly,NZD,Millions,2003-05-01,282.153572
107285,Volume,NZ,Sovereign,Monthly,NZD,Millions,2003-06-01,269.741266
107286,Volume,NZ,Sovereign,Monthly,NZD,Millions,2003-07-01,328.69076399999994
107287,Volume,NZ,Sovereign,Monthly,NZD,Millions,2003-08-01,220.563648
107288,Volume,NZ,Sovereign,Monthly,NZD,Millions,2003-09-01,253.87169
107289,Volume,NZ,Sovereign,Monthly,NZD,Millions,2003-10-01,257.48711599999996
107290,Volume,NZ,Sovereign,Monthly,NZD,Millions,2003-11-01,275.749164
107291,Volume,NZ,Sovereign,Monthly,NZD,Millions,2003-12-01,303.587484
107292,Volume,NZ,Sovereign,Monthly,NZD,Millions,2004-01-01,206.060508
107293,Volume,NZ,Sovereign,Monthly,NZD,Millions,2004-02-01,180.619568
107294,Volume,NZ,Sovereign,Monthly,NZD,Millions,2004-03-01,230.657784
107295,Volume,NZ,Sovereign,Monthly,NZD,Millions,2004-04-01,243.09422
107296,Volume,NZ,Sovereign,Monthly,NZD,Millions,2004-05-01,202.275472
107297,Volume,NZ,Sovereign,Monthly,NZD,Millions,2004-06-01,177.12235199999998
107298,Volume,NZ,Sovereign,Monthly,NZD,Millions,2004-07-01,196.552784
107299,Volume,NZ,Sovereign,Monthly,NZD,Millions,2004-08-01,196.18538
107300,Volume,NZ,Sovereign,Monthly,NZD,Millions,2004-09-01,180.29321599999997
107301,Volume,NZ,Sovereign,Monthly,NZD,Millions,2004-10-01,182.79494400000002
107302,Volume,NZ,Sovereign,Monthly,NZD,Millions,2004-11-01,202.984916
107303,Volume,NZ,Sovereign,Monthly,NZD,Millions,2004-12-01,173.87383799999998
107304,Volume,NZ,Sovereign,Monthly,NZD,Millions,2005-01-01,140.479976
107305,Volume,NZ,Sovereign,Monthly,NZD,Millions,2005-02-01,207.504832
107306,Volume,NZ,Sovereign,Monthly,NZD,Millions,2005-03-01,132.835924
107307,Volume,NZ,Sovereign,Monthly,NZD,Millions,2005-04-01,129.707424
107308,Volume,NZ,Sovereign,Monthly,NZD,Millions,2005-05-01,127.86487600000001
107309,Volume,NZ,Sovereign,Monthly,NZD,Millions,2005-06-01,156.500956
107310,Volume,NZ,Sovereign,Monthly,NZD,Millions,2005-07-01,179.101508
107311,Volume,NZ,Sovereign,Monthly,NZD,Millions,2005-08-01,179.4828
107312,Volume,NZ,Sovereign,Monthly,NZD,Millions,2005-09-01,186.712524
107313,Volume,NZ,Sovereign,Monthly,NZD,Millions,2005-10-01,187.97287199999997
107314,Volume,NZ,Sovereign,Monthly,NZD,Millions,2005-11-01,205.817492
107315,Volume,NZ,Sovereign,Monthly,NZD,Millions,2005-12-01,207.58188400000003
107316,Volume,NZ,Sovereign,Monthly,NZD,Millions,2006-01-01,276.11848
